約定日,受渡日,ティッカーコード,銘柄名,取引,口座,数量[株],売却/決済単価[USドル],売却/決済額[USドル],平均取得価額[USドル],実現損益[USドル]
"2025/11/07","2025/11/11","NTCT","ネットスカウトシステムズ","売付","特定","20","30.1100","602.20","27.1230","59.74"
"2025/11/06","2025/11/10","PGY","パガヤ・テクノロジーズ","売付","特定","20","24.7400","494.80","27.8085","-61.37"
"2025/10/31","2025/11/05","RBRK","ルーブリック","売付","特定","38","72.0350","2,737.33","79.4813","-282.96"
"2025/10/29","2025/10/31","WKEY","ワイズキー・インターナショナル・ホールディングス","売付","特定","19","15.2000","288.80","14.4531","14.19"
"2025/10/29","2025/10/31","GSIT","GSIテクノロジー","売付","特定","25","11.2300","280.75","16.2298","-125.00"
"2025/10/29","2025/10/31","IONQ","IonQ INC","売付","特定","8","62.6200","500.96","62.3062","2.51"
"2025/10/29","2025/10/31","DFLI","ドラゴンフライ・エナジー・ホールディングス","売付","特定","1","1.1900","1.19","1.0500","0.14"
"2025/10/29","2025/10/31","ALAB","アステラ・ラブス","売付","特定","5","168.8100","844.05","168.4280","1.91"
"2025/10/28","2025/10/30","ZETA","ゼータ・グローパル・ホールディングス","売付","特定","80","19.0524","1,524.19","17.8780","93.95"
"2025/10/28","2025/10/30","ZETA","ゼータ・グローパル・ホールディングス","売付","NISA成長投資枠","9","19.0630","171.57","18.8400","2.01"
"2025/10/28","2025/10/30","RCAT","レッド・キャット・ホールディングス","売付","特定","8","11.9100","95.28","10.8137","8.77"
"2025/10/23","2025/10/27","CAN","カナン","売付","特定","1,000","1.8550","1,855.00","1.5827","272.22"
"2025/10/22","2025/10/24","GSIT","GSIテクノロジー","売付","特定","25","17.0000","425.00","16.2298","19.26"
"2025/10/20","2025/10/22","CAN","カナン","売付","NISA成長投資枠","1,000","1.4200","1,420.00","1.2303","189.68"
"2025/10/20","2025/10/22","CAN","カナン","売付","NISA成長投資枠","1,000","1.4200","1,420.00","1.2303","189.68"
"2025/10/20","2025/10/22","CAN","カナン","売付","NISA成長投資枠","200","1.4200","284.00","1.2303","37.94"
"2025/10/20","2025/10/22","CAN","カナン","売付","NISA成長投資枠","100","1.4200","142.00","1.2303","18.97"
"2025/10/20","2025/10/22","CAN","カナン","売付","NISA成長投資枠","25","1.4200","35.50","1.2303","4.74"
"2025/10/20","2025/10/22","MVST","マイクロヴァスト・ホールディングス","売付","NISA成長投資枠","121","5.8507","707.93","4.7740","130.27"
"2025/10/20","2025/10/22","MVST","マイクロヴァスト・ホールディングス","売付","NISA成長投資枠","80","5.8507","468.06","4.7740","86.14"
"2025/10/20","2025/10/22","KOPN","コピン","売付","NISA成長投資枠","500","3.6400","1,820.00","3.2100","215.00"
"2025/10/20","2025/10/22","BITF","ビットファームズ","売付","NISA成長投資枠","2","4.8500","9.70","3.0800","3.54"
"2025/10/14","2025/10/16","CLSK","クリーンスパーク","売付","NISA成長投資枠","3","20.0800","60.24","16.1300","11.85"

"","","","","","","","","","合計額[USドル]","893.18"
