約定日,受渡日,ティッカーコード,銘柄名,取引,口座,数量[株],売却/決済単価[USドル],売却/決済額[円],平均取得価額[円],実現損益[円]
"2025/11/07","2025/11/11","NTCT","ネットスカウトシステムズ","売付","特定","20","30.1100","91,688","4,181.0000","8,068"
"2025/11/06","2025/11/10","PGY","パガヤ・テクノロジーズ","売付","特定","20","24.7400","75,651","4,300.0000","-10,349"
"2025/10/31","2025/11/05","RBRK","ルーブリック","売付","特定","38","72.0350","418,456","12,118.0000","-42,029"
"2025/10/29","2025/10/31","WKEY","ワイズキー・インターナショナル・ホールディングス","売付","特定","19","15.2000","43,505","2,196.0000","1,781"
"2025/10/29","2025/10/31","GSIT","GSIテクノロジー","売付","特定","25","11.2300","42,290","2,449.0000","-18,934"
"2025/10/29","2025/10/31","IONQ","IonQ INC","売付","特定","8","62.6200","75,461","9,542.0000","-875"
"2025/10/29","2025/10/31","DFLI","ドラゴンフライ・エナジー・ホールディングス","売付","特定","1","1.1900","180","160.0000","20"
"2025/10/29","2025/10/31","ALAB","アステラ・ラブス","売付","特定","5","168.8100","127,142","25,793.0000","-1,823"
"2025/10/28","2025/10/30","ZETA","ゼータ・グローパル・ホールディングス","売付","特定","80","19.0524","230,926","2,703.0000","14,686"
"2025/10/28","2025/10/30","ZETA","ゼータ・グローパル・ホールディングス","売付","NISA成長投資枠","9","19.0630","26,123","2,877.0000","230"
"2025/10/28","2025/10/30","RCAT","レッド・キャット・ホールディングス","売付","特定","8","11.9100","14,437","1,656.0000","1,189"
"2025/10/23","2025/10/27","CAN","カナン","売付","特定","1,000","1.8550","280,492","240.0000","40,492"
"2025/10/22","2025/10/24","GSIT","GSIテクノロジー","売付","特定","25","17.0000","63,967","2,449.0000","2,742"
"2025/10/20","2025/10/22","CAN","カナン","売付","NISA成長投資枠","1,000","1.4200","213,979","188.0000","25,979"
"2025/10/20","2025/10/22","CAN","カナン","売付","NISA成長投資枠","1,000","1.4200","213,979","188.0000","25,979"
"2025/10/20","2025/10/22","CAN","カナン","売付","NISA成長投資枠","200","1.4200","42,795","188.0000","5,195"
"2025/10/20","2025/10/22","CAN","カナン","売付","NISA成長投資枠","100","1.4200","21,397","188.0000","2,597"
"2025/10/20","2025/10/22","CAN","カナン","売付","NISA成長投資枠","25","1.4200","5,349","188.0000","649"
"2025/10/20","2025/10/22","MVST","マイクロヴァスト・ホールディングス","売付","NISA成長投資枠","121","5.8507","106,677","724.0000","19,073"
"2025/10/20","2025/10/22","MVST","マイクロヴァスト・ホールディングス","売付","NISA成長投資枠","80","5.8507","70,531","724.0000","12,611"
"2025/10/20","2025/10/22","KOPN","コピン","売付","NISA成長投資枠","500","3.6400","274,255","491.0000","28,755"
"2025/10/20","2025/10/22","BITF","ビットファームズ","売付","NISA成長投資枠","2","4.8500","1,461","462.0000","537"
"2025/10/14","2025/10/16","CLSK","クリーンスパーク","売付","NISA成長投資枠","3","20.0800","9,167","2,420.0000","1,907"

"","","","","","","","","","合計額[円]","118,480"
